,sentence1,sentence2,similarity_score,sent1_len,sent2_len,aug1
57,Un hombre está tocando la batería.,Un hombre toca el tambor.,1.0,6,5,Un varón está percutiendo una batería.
58,Una mujer monta un caballo.,Una mujer está montando a caballo.,1.0,5,6,Una mujer cabalga sobre un equino.
59,Un hombre está comiendo un plátano junto a un árbol.,Un hombre está comiendo un plátano.,0.8,10,6,Un hombre se encuentra consumiendo un plátano al lado de un árbol.
60,Un gato está jugando con un teclado.,Un hombre está tocando dos teclados.,0.3200000047683716,7,6,Un felino se divierte con un teclado.
61,Un hombre corta un árbol con un hacha.,Un hombre cortó un árbol con un hacha.,0.95,8,8,Un individuo talando un árbol con una hacha.
62,Un niño juega con un teléfono de juguete.,Un niño pequeño juega con un teléfono de juguete.,0.7,8,9,Un menor se entretiene con un teléfono de juguete.
63,Un hombre está montando una motocicleta.,Un hombre está montando a caballo.,0.27999999523162844,6,6,Un caballero se encuentra montando una motocicleta.
64,Un hombre está montando una motocicleta.,Un hombre está montando a caballo.,0.27999999523162844,6,6,Un varón está conduciendo una motocicleta.
65,Una ardilla está girando en círculos.,Una ardilla corre en círculos.,0.8,6,5,Una ardilla gira en círculos incesantemente.
66,Un hombre y una mujer se están besando.,Un hombre y una mujer se besan.,1.0,8,7,Un hombre y una mujer se dan un apasionado beso.
67,Un hombre se está subiendo a un coche.,Un hombre se está metiendo en un coche en un garaje.,0.7665999889373779,8,11,Un hombre se dispone a entrar en un automóvil.
68,Un hombre está bailando.,Un hombre está hablando.,0.12000000476837158,4,4,Un hombre se encuentra bailando con alegría.
69,Un hombre está tocando la guitarra y cantando.,Un hombre está tocando la guitarra.,0.5834000110626221,8,6,Un hombre está interpretando una canción con su guitarra.
70,Una persona está cortando hongos.,Una persona está cortando setas con un cuchillo.,0.8399999618530274,5,8,Un individuo se encuentra en el proceso de cortar setas.
71,Un cachorro de tigre está haciendo un sonido.,Un tigre está caminando por ahí.,0.4,8,6,Un cachorro de tigre está emitiendo un sonido.
72,Una persona está cortando cebollas.,Una persona está pelando una cebolla.,0.5199999809265137,5,6,Una persona está en medio de cortar cebollas.
73,Un hombre está tocando el piano.,Un hombre está tocando la trompeta.,0.3200000047683716,6,6,Un hombre está interpretando música en el piano.
74,Una mujer está pelando una patata.,Una mujer está pelando una manzana.,0.4,6,6,Una dama está quitando la cáscara de una papa.
75,Un pankda está comiendo bambú.,Un oso panda está comiendo algo de bambú.,0.8399999618530274,5,8,Un panda está consumiendo bambú.
76,Una persona está pelando una cebolla.,Una persona está pelando una berenjena.,0.4,6,6,Una persona está quitando la piel de una cebolla.
77,Un mono empuja a otro mono.,El mono empujó al otro mono.,0.9600000381469727,6,6,Un mono está empujando a otro mono.
78,Una ardilla corre en círculos.,Una ardilla se mueve en círculos.,0.8800000190734864,5,6,Una ardilla está corriendo en círculos.
79,Un hombre se está atando el zapato.,Un hombre se ata el zapato.,1.0,7,6,Un hombre se está ajustando el calzado.
80,Un niño está cantando y tocando el piano.,Un niño está tocando el piano.,0.6,8,6,Un joven se encuentra entonando melodías mientras tañe el piano.
81,Un perro está comiendo sandía.,Un perro está comiendo un pedazo de sandía.,0.85,5,8,Un can está saboreando sandía.
82,Una mujer está cortando brócoli.,Una mujer está cortando el brócoli con un cuchillo.,0.85,5,9,Una fémina se dedica a trocear brócoli.
83,Un hombre está pelando una patata.,Un hombre peló una patata.,0.7599999904632568,6,5,Un varón se encuentra mondando una papa.
84,Una mujer está tocando una guitarra.,Un hombre toca la guitarra.,0.48000001907348633,6,5,Una dama se halla tocando la guitarra.
85,Una mujer está cortando tomates.,Un hombre está cortando cebolla.,0.3200000047683716,5,5,Una señora se dedica a rebanar tomates.
86,Un hombre nada bajo el agua.,Una mujer está nadando bajo el agua.,0.4,6,7,Un caballero se sumerge para nadar bajo el agua.
87,Un hombre y una mujer están hablando.,Un hombre y una mujer están comiendo.,0.3200000047683716,7,7,Un hombre y una mujer están manteniendo una conversación.
88,Un pequeño perro está persiguiendo una pelota de yoga.,Un perro está persiguiendo una pelota.,0.8,9,6,Un perrito de pequeño tamaño está corriendo tras una pelota de yoga.
89,Los hombres están jugando al cricket.,Los hombres están jugando al baloncesto.,0.4400000095367432,6,6,Los varones se encuentran jugando un partido de cricket.
90,Un hombre se va en una motocicleta.,Un hombre va en una motocicleta.,0.8800000190734864,7,6,Un individuo se marcha en una moto.
91,Un hombre está tocando una guitarra.,Un hombre está cantando y tocando la guitarra.,0.7199999809265136,6,8,Un hombre está tañendo una guitarra.
92,El hombre habló por teléfono.,El hombre está hablando por teléfono.,0.7199999809265136,5,6,El hombre conversó por teléfono.
93,Un hombre está pescando.,Un hombre está haciendo ejercicio.,0.1,4,5,Un hombre está faenando en la pesca.
94,Un hombre está levitando.,Un hombre está hablando.,0.1600000023841858,4,4,Un hombre está flotando en el aire.
95,Dos chicos están conduciendo.,Dos bahías están bailando.,0.12000000476837158,4,4,Dos jóvenes están manejando un vehículo.
96,Un hombre está montando a caballo.,Una chica está montando a caballo.,0.5199999809265137,6,6,Un hombre está cabalgando.
97,Un hombre está montando en bicicleta.,Un mono está montando una bicicleta.,0.4,6,6,Un hombre está andando en bicicleta.
98,Un hombre está cortando patatas.,Una mujer está pelando patatas.,0.4400000095367432,5,5,Un hombre está picando papas.
99,Una mujer está pelando una patata.,Un hombre está cortando patatas.,0.48000001907348633,6,5,Una mujer está mondando una papa.
100,Un hombre está tocando una guitarra.,Someoen está tocando la guitarra.,0.7199999809265136,6,5,Un varón se encuentra tañendo una guitarra.
101,Una mujer está cortando un puerro.,Una mujer está cortando jengibre.,0.4400000095367432,6,5,Una dama se halla cortando un puerro.
102,El hombre cortó un plato de papel.,Un hombre está cortando un plato de papel.,0.9600000381469727,7,8,El hombre recortó un plato de papel.
103,El hombre está tocando la guitarra.,Un hombre está tocando la flauta.,0.32860000133514405,6,6,El varón se dedica a tocar la guitarra.
104,Un hombre está tocando el piano.,El hombre está tocando el violín.,0.35,6,6,Un caballero se encuentra interpretando el piano.
105,Una mujer está cortando carne.,Una mujer está empanando algo de carne.,0.45,5,7,Una mujer se encuentra fileteando carne.
106,Un hombre está tocando en su teclado.,Un hombre está tocando un teclado de piano.,0.8,7,8,Un individuo se encuentra pulsando las teclas de su teclado.
107,La señora cortó las cebollas de verdeo.,La señora cortó una cebolla verde.,0.9600000381469727,7,6,La dama cortó las cebolletas.
108,Alguien está sentando fideos en el agua.,Una mujer está hirviendo fideos en agua.,0.6400000095367432,7,7,Alguien se encuentra echando pasta al agua.
109,Lionel Richie está bailando en el techo.,Lionel Ritchie baila mientras está de pie en el techo.,0.8,7,10,Lionel Richie se encuentra bailando sobre el tejado.
110,Un hombre está tocando el piano.,Una persona está tocando el piano.,0.8800000190734864,6,6,Un varón se encuentra tañendo el pianoforte.
111,Una mujer está tocando la flauta.,Una mujer toca la flauta.,0.9199999809265137,6,5,Una dama se halla tocando el flautín.
112,Un chico está revisando un calendario.,Un chico está mirando un calendario.,0.7599999904632568,6,6,Un joven está revisando un almanaque.
113,Una mujer está cortando una cebolla.,Una mujer está cortando cebollas.,0.9600000381469727,6,5,Una fémina está cortando una cebolla en rodajas.
114,Un hombre está tocando la guitarra.,Un hombre toca la guitarra.,0.971399974822998,6,5,Un caballero está rasgueando la guitarra.
115,Una mujer está usando una máquina de coser.,Una mujer está cosiendo en una máquina.,1.0,8,7,Una señora está manejando una máquina de coser.
116,Una mujer está volteando panqueques.,Un chef de dibujos animados está haciendo panqueques.,0.5065999984741211,5,8,Una dama está dando vuelta a los panqueques.
117,Un hombre está corriendo en la carretera.,Un coche está conduciendo por la carretera.,0.2,7,7,Un hombre está trotando por la carretera.
118,Un hombre está montando a caballo.,Un hombre está hablando por teléfono.,0.2,6,6,Un varón está montando a lomos de un caballo.
119,Un hombre está montando en bicicleta.,Un hombre está montando a caballo.,0.4,6,6,Un hombre está pedaleando en una bicicleta.
120,Una mujer está bailando.,Un hombre está comiendo.,0.028600001335144044,4,4,Una dama se encuentra danzando.
121,Un hombre está tocando el piano.,Un hombre está tocando una flauta.,0.4,6,6,Un varón está interpretando el piano.
122,Un hombre está tocando una flauta.,Un hombre está tocando el piano.,0.3200000047683716,6,6,Un hombre está ejecutando una flauta.
123,Un hombre está girando.,Un hombre está bailando.,0.3200000047683716,4,4,Un individuo está dando vueltas.
124,Un mono se balancea de miembro a miembro.,Un mono se balancea de árbol en árbol.,0.6800000190734863,8,8,Un simio se está columpiando de rama en rama.
125,La gente se bajó del tren.,La gente se bajó del tren en la estación.,0.8,6,9,Los pasajeros descendieron del ferrocarril.
126,Un perro está saltando en un trampolín.,Un perro rebota en un trampolín.,0.9600000381469727,7,6,Un can está brincando en un trampolín.
127,Un niño está tocando un instrumento.,Un hombre está tocando una trompeta.,0.5,6,6,Un infante está manipulando un instrumento.
128,Una mujer toca la guitarra.,Un hombre canta y toca la guitarra.,0.35,5,7,Una dama toca la guitarra.
129,Una mujer está eligiendo una lata.,Una mujer está cortando un tomate.,0.2,6,6,Una fémina se encuentra seleccionando una lata.
130,Un hombre está escalando una cuerda.,Un hombre sube por una cuerda.,1.0,6,6,Un varón se encuentra ascendiendo por una soga.
131,Un hombre está levantando un coche.,Un hombre está escalando una pared.,0.27999999523162844,6,6,Un hombre se halla elevando un automóvil.
132,Un hombre y una mujer están conduciendo por la calle en un jeep.,Un hombre y una mujer están conduciendo por la carretera en un vehículo al aire libre.,0.8,13,16,Un hombre y una fémina están manejando un jeep por la vía.
133,El hombre sin camisa se sentó en una silla.,Un hombre sin camisa está sentado en una silla.,0.7599999904632568,9,9,El individuo sin playera se ubicó en un asiento.
134,Dos mujeres están luchando.,Dos mujeres están luchando en el suelo.,0.8,4,7,Dos damas se hallan peleando.
135,El cachorro jugó con una pelota de tenis azul.,Un cachorro está jugando con una pelota de tenis.,0.8,9,9,El perrito se divirtió con una pelota de tenis de color azul.
136,Un canguro está comiendo algo.,Un canguro está comiendo.,0.9600000381469727,5,4,Un canguro está consumiendo algo.
137,Un gato está tocando el piano.,Un hombre está tocando una guitarra.,0.12000000476837158,6,6,Un felino está interpretando el piano.
138,El hombre cortó una alfombra con un cuchillo.,Un hombre está cortando la alfombra con un cuchillo.,0.95,8,9,El caballero recortó una alfombra con un cuchillo.
139,Una mujer va en un scooter motorizado por una carretera.,Un hombre está conduciendo un scooter.,0.4400000095367432,10,6,Una dama viaja en una motocicleta ligera por una ruta.
140,alguien está cortando un vegetal.,Alguien está cortando un tomate.,0.6,5,5,Alguien se encuentra rebanando un vegetal.
141,Una mujer está bailando.,Un hombre está hablando.,0.0,4,4,Una dama se halla bailando.
142,Un perro lame la baba de un bebé.,Un perro lame a un bebé.,0.4400000095367432,8,6,Un canino está lamiendo la saliva de un infante.
143,Un hombre está remando un bote.,Un hombre está cortando un tomate.,0.0800000011920929,6,6,Un hombre está navegando en una barca.
144,Un hombre corta patatas.,Un hombre corta patatas.,0.9600000381469727,4,4,Un individuo está cortando papas.
145,Una mujer está cortando el ajo.,La mujer está cortando el ajo en cubitos.,0.9600000381469727,6,8,Una mujer se encuentra picando el ajo.
146,Un animal corre en círculos.,Una ardilla corre en círculos.,0.7599999904632568,5,5,Un animal está corriendo en círculos.
147,Un hombre está caminando lentamente a través de un puente de cuerda.,Un chico está caminando por un puente.,0.6,12,7,Un hombre se desplaza lentamente a través de un puente colgante.
148,Un hombre está tocando la guitarra.,Un hombre sentado en una habitación está tocando la guitarra.,0.8,6,10,Un hombre está tañendo la guitarra.
149,Un hombre toca la flauta.,Un hombre está tocando una flauta.,1.0,5,6,Un hombre interpreta la flauta.
150,Una mujer rompe dos huevos en un tazón de cristal.,Una mujer está rompiendo un huevo en un tazón.,0.7599999904632568,10,9,Una dama parte dos huevos en un recipiente de vidrio.
151,Un hombre está cortando un pescado.,Un hombre destripa un pez.,0.6,6,5,Un caballero está fileteando un pez.
152,Dos hombres están empacando maletas en el maletero de un auto.,Los hombres están poniendo maletas en el maletero del coche.,0.8800000190734864,11,10,Dos varones están acomodando equipaje en el baúl de un automóvil.
153,Un hombre vierte aceite sobre unos tomates.,El hombre vertió aceite sobre los tomates cortados.,0.7599999904632568,7,8,Un caballero vierte aceite sobre unos jitomates.
154,Un hombre está cortando algo.,Un hombre está cortando un bollo.,0.6,5,6,Un varón está cortando un objeto.
155,Un hombre está remando en una canoa.,Un hombre está tocando el arpa.,0.13339999914169312,7,6,Un hombre está remando en una piragua.
156,Un hombre y una mujer están caminando juntos por el bosque.,Un hombre y una mujer están caminando brazo a brazo por una zona boscosa.,0.8,11,14,Un hombre y una mujer pasean juntos por el bosque.
157,La mujer recogió el canguro.,Una mujer recoge un bebé canguro.,0.75,5,6,La mujer levantó al canguro.
158,Los peces están nadando.,Un pez está nadando.,0.8265999794006348,4,4,Los peces están navegando en el agua.
159,Dos mujeres mezclan algo en un procesador de alimentos.,Dos mujeres hacen algo en una licuadora.,0.8,9,7,Dos damas combinan algo en una procesadora de alimentos.
160,Una persona está surfeando una gran ola.,Una persona está surfeando.,0.7199999809265136,7,4,Un individuo está montando una ola imponente.
161,Un hombre está tocando una guitarra.,Un hombre está apuñalando a un objetivo.,0.24000000953674316,6,7,Un caballero está tañendo una guitarra.
162,Un hombre está tocando una flauta en una banda.,Un hombre está tocando una guitarra.,0.3200000047683716,9,6,Un hombre está ejecutando una flauta en un conjunto musical.
163,El hombre untó mantequilla en la barra de pan.,Un hombre está untando mantequilla en el pan.,0.8,9,8,El hombre extendió mantequilla sobre la baguette.
164,Una persona está hirviendo fideos.,Una mujer está hirviendo fideos en agua.,0.8,5,7,Una persona está cocinando pasta.
165,Un grupo de gente baila en una colina.,Un grupo de gente está bailando.,0.6400000095367432,8,6,Un conjunto de personas está bailando sobre una elevación.
166,Un hombre está bailando afuera.,Un hombre está tocando la flauta.,0.2,5,6,Un hombre está bailando al aire libre.
167,Una mujer está alimentando a un hombre.,Una mujer está mezclando carne.,0.2,7,5,Una dama está dando de comer a un hombre.
168,Un hombre está poniendo una cacerola en un horno.,Una mujer está cortando una cebolla.,0.12000000476837158,9,6,Un hombre está colocando una olla en un horno.
169,Una mujer está sentada en un escritorio.,Una mujer está montando un burro.,0.0800000011920929,7,6,Una mujer está ubicada en un buró.
170,Los médicos transportan a un paciente en una camilla.,Un médico lleva a un paciente en una camilla.,0.6800000190734863,9,9,Los facultativos trasladan a un enfermo en una litera.
171,Una mujer está tocando una flauta en el escenario.,La mujer está tocando la flauta.,0.7199999809265136,9,6,Una dama está interpretando una flauta sobre el escenario.
172,Dos bebés pandas están jugando.,Dos pandas están acostados juntos.,0.6,5,5,Dos cachorros de panda se encuentran divirtiéndose.
173,Un bebé se está riendo.,Un bebé está riendo y riéndose.,0.8,5,6,Un bebé está soltando carcajadas.
174,Un hombre está tocando una guitarra.,Un niño está tocando el piano.,0.24000000953674316,6,6,Un varón está tañendo una guitarra.
175,Un hombre está doblando papel.,Una mujer está cortando un pimiento.,0.12000000476837158,5,6,Un caballero está plegando papel.
176,Tres mujeres están bailando.,El hombre está bailando.,0.3200000047683716,4,4,Tres damas se hallan bailando.
177,Los gatos están jugando entre ellos.,Dos gatos están peleando entre sí.,0.5199999809265137,6,6,Los felinos están jugando entre sí.
178,Una persona está escribiendo.,Una persona está escribiendo con un lápiz.,0.7199999809265136,4,7,Un individuo está redactando.
179,Un hombre está corriendo.,Un hombre está corriendo por una carretera.,0.7,4,7,Un hombre está echando a correr.
180,La mujer está enrollando la masa.,Una mujer está floreciendo y enrollando la masa.,0.753000020980835,6,8,La dama se encuentra amasando la dough.
181,Una mujer está añadiendo especias a una carne.,La mujer está añadiendo azúcar a la carne.,0.55,8,8,Una fémina se halla agregando condimentos a una carne.
182,Una mujer está añadiendo aceite a los peces.,Una mujer está echando agua a los peces.,0.45,8,8,Una mujer se encuentra vertiendo aceite sobre los pescados.
183,Un joven está sosteniendo una guitarra.,Un niño pequeño está tocando una guitarra.,0.55,6,7,Un muchacho se halla sosteniendo una guitarra.
184,Un guepardo está corriendo.,Un guepardo está corriendo por un campo.,0.7599999904632568,4,7,Un guepardo se encuentra corriendo velozmente.
185,El hombre está comiendo pizza.,Un hombre está comiendo una rebanada de pizza.,0.9600000381469727,5,8,El varón se halla degustando una pizza.
186,Un orangután va en un autobús.,Un mono va en un autobús.,0.7199999809265136,6,6,Un orangután está viajando en un autobús.
187,Un hombre y una mujer hablan en un restaurante.,Un hombre y una mujer van en bicicleta.,0.24000000953674316,9,8,Una pareja se encuentra conversando en un restaurante.
188,Un hombre está tocando una guitarra.,Un hombre está limpiando una puerta de cristal.,0.0800000011920929,6,8,Un hombre se halla interpretando una guitarra.
189,Una chica está cantando y tocando la guitarra.,Un joven está cantando mientras toca la guitarra.,0.48000001907348633,8,8,Una joven se halla cantando y tocando la guitarra simultáneamente.
190,Una chica se está comunicando con el lenguaje de signos.,Una joven está usando el lenguaje de signos.,0.7881999969482422,10,8,Una joven se está expresando mediante el lenguaje de señas.
191,Una mujer está haciendo ejercicios de pesas.,Una mujer se está arreglando el pelo.,0.1,7,7,Una dama está realizando ejercicios con pesas.
192,Un hombre se está metiendo en un coche.,Un anciano se está metiendo en un coche rojo.,0.75,8,9,Un varón se está introduciendo en un automóvil.
193,Una gran bola verde derriba una patata.,Una gran bola verde golpea una patata.,0.8,7,7,Una enorme esfera verde tira al suelo una papa.
194,Un gato está tocando el teclado.,Un gato está tocando el piano.,0.6,6,6,Un felino está pulsando el teclado.
195,Dos perros nadan en una piscina.,Los perros están nadando en una piscina.,0.8399999618530274,6,7,Dos caninos se bañan en una piscina.
196,El hombre usó un helicóptero para picar la cebolla.,El hombre usó una máquina para cortar una patata.,0.4,9,9,El individuo empleó un helicóptero para cortar la cebolla.
197,Una mujer corta el tofu.,Una mujer está cortando tofu.,1.0,5,5,Una fémina está rebanando el tofu.
198,Una manada de ciervos está cruzando la calle.,Una manada de caribúes está cruzando una carretera.,0.6,8,8,Un grupo de venados está atravesando la vía.
199,La persona está montando el caballo.,Un hombre está montando a caballo.,0.7599999904632568,6,6,La persona está cabalgando el equino.
200,Alguien está alimentando a un animal.,Alguien está tocando el piano.,0.0,6,5,Alguien está dando de comer a un ser vivo.
201,Alguien está cortando a Tortila.,Alguien está montando a caballo.,0.0,5,5,Alguien está partiendo a Tortila.
202,Alguien está mezclando los ingredientes.,Alguien está cosiendo cosas.,0.05,5,4,Alguien está combinando los componentes.
203,Un gallo picotea a un ratón muerto.,Una gallina está picoteando un ratón muerto.,0.8,7,7,Un gallo está picoteando a un ratón fallecido.
204,Una mujer sostiene un canguro.,Una mujer está recogiendo un canguro.,0.65,5,6,Una mujer está sosteniendo un canguro.
205,Un hombre está jugando con ranas,Un gato está jugando con una cámara.,0.15,6,7,Un hombre está divirtiéndose con ranas.
206,Dos hombres están hablando.,Dos hombres están tocando la guitarra.,0.3,4,6,Dos hombres están conversando.
207,Un hombre unta mantequilla en un gran pedazo de pan.,Un hombre está untando mantequilla en una rebanada de pan de ajo.,0.7,10,12,Un hombre está extendiendo mantequilla en un gran trozo de pan.
208,Un hombre está corriendo a través de un cable alto.,Un hombre está corriendo en la cuerda.,0.6,10,7,Un hombre está corriendo a lo largo de un cable elevado.
209,Un hombre está cortando el césped.,Una mujer está cortando un limón.,0.04000000059604645,6,6,Un hombre está podando el césped.
210,Un hombre está abriendo una puerta.,Un hombre está tocando una guitarra.,0.1600000023841858,6,6,Un individuo se dispone a abrir una entrada.
211,Un hombre está cortando una patata en trozos.,Un hombre está cortando una patata.,0.8399999618530274,8,6,Un caballero se encuentra cortando una papa en pedazos.
212,La mujer está cortando pulpo cocido.,Una mujer está cortando pulpo.,0.7599999904632568,6,5,La dama se halla cortando pulpo cocinado.
213,Un hombre está golpeando a través de las tablas.,Un perro está corriendo a través del agua.,0.0800000011920929,9,8,Un varón está perforando a través de las maderas.
214,Un hombre está bailando.,Un hombre está comiendo pan.,0.1600000023841858,4,5,Un hombre se está moviendo al ritmo de la música.
215,Alguien está tocando el piano.,Un hombre está tocando una guitarra.,0.24000000953674316,5,6,Alguien está interpretando una pieza en el piano.
216,Dos zorros están comiendo de un plato en un patio de ladrillos.,Los zorros están comiendo de un plato.,0.5599999904632569,12,7,Dos zorros están degustando de un plato en un patio empedrado.
217,Un niño está jugando con un teclado.,Un niño está tocando el piano.,0.6400000095367432,7,6,Un infante se divierte con un teclado.
