,sentence1,sentence2,similarity_score,aug1,aug2
12,Un hombre está tocando una flauta.,Un hombre está tocando una flauta de bambú.,0.7734000205993652,Un hombre está interpretando una flauta.,Un hombre está ejecutando una melodía en una flauta hecha de bambú.
13,Una persona está doblando un pedazo de papel.,Alguien está doblando un pedazo de papel.,0.9333999633789064,Una persona está plegando un trozo de papel.,Una persona está realizando el acto de plegar un trozo de papel.
14,Un hombre está corriendo en la carretera.,Un perro panda está corriendo en la carretera.,0.333400011062622,Un varón está corriendo por el camino.,Un perro que tiene la apariencia de un panda corre por la vía pública.
15,Un perro está tratando de quitarse el tocino de encima.,Un perro está tratando de comerse el tocino de su espalda.,0.75,Un perro está intentando quitarse el beicon de encima.,Un canino intenta consumir una porción de tocino que se encuentra en su espalda.
16,El oso polar se está deslizando en la nieve.,Un oso polar se está deslizando por la nieve.,1.0,El oso ártico se está deslizando sobre la nieve.,Un oso polar se desliza con agilidad por la superficie nevada.
17,Una mujer está escribiendo.,Una mujer está nadando.,0.1,Una mujer está redactando.,Una mujer se desplaza por el agua practicando natación.
18,Un gato se está frotando contra la cara del bebé.,Un gato se está frotando contra un bebé.,0.7599999904632568,Un gato se está restregando contra el rostro del infante.,Un felino se roza contra un niño pequeño.
19,El hombre está montando a caballo.,Un hombre está montando a caballo.,1.0,El hombre está montando en un caballo.,Un hombre cabalga sobre un caballo.
20,Un hombre vierte aceite en una olla.,Un hombre vierte vino en una olla.,0.6400000095367432,Un individuo derrama petróleo en un caldero.,Un hombre vierte vino en un recipiente.
21,Un hombre está tocando una guitarra.,Una chica está tocando una guitarra.,0.5599999904632569,Un varón tañe una guitarra.,Una joven está ejecutando una melodía con su guitarra.
22,Un panda se está deslizando por un tobogán.,Un panda se desliza por un tobogán.,0.9199999809265136,Un oso panda se desliza por un resbaladizo.,Un oso panda se desliza por un tobogán de agua.
23,Una mujer está comiendo algo.,Una mujer está comiendo carne.,0.6,Una dama está ingiriendo alimentos.,Una mujer disfruta de un suculento trozo de carne.
24,Una mujer pela una patata.,Una mujer está pelando una patata.,1.0,Una fémina descascara una papa.,Una mujer está descascarando una patata.
25,El chico se cayó de su bicicleta.,Un chico se cae de su bicicleta.,0.9600000381469728,El muchacho cayó de su bicicleta.,Un niño pierde el equilibrio y cae de su bicicleta.
26,La mujer está tocando la flauta.,Una mujer está tocando una flauta.,1.0,La señora está interpretando la flauta.,Una mujer interpreta una melodía con su flauta.
27,Un conejo está huyendo de un águila.,Una liebre está huyendo de un águila.,0.8399999618530274,Un conejo escapa de un águila.,Una liebre es perseguida por un águila.
28,La mujer está friendo una chuleta de cerdo empanizada.,Una mujer está cocinando una chuleta de cerdo empanizada.,0.8399999618530274,La mujer está cocinando una costilla de cerdo rebozada.,Una mujer está preparando una chuleta de cerdo rebozada.
29,Una chica está volando una cometa.,Una chica corriendo está volando una cometa.,0.8,Una joven está haciendo volar una cometa.,Una joven corre mientras mantiene en alto una cometa.
30,Un hombre está montando un toro mecánico.,Un hombre montaba un toro mecánico.,0.8,Un varón se encuentra domando un toro mecánico.,Un individuo se encontraba encima de un toro mecánico.
31,El hombre está tocando la guitarra.,Un hombre está tocando una guitarra.,0.9817999839782716,El individuo se halla tocando una guitarra.,Un individuo está ejecutando una pieza musical en su guitarra.
32,Una mujer está bailando y cantando con otras mujeres.,Una mujer está bailando y cantando bajo la lluvia.,0.6,Una dama se encuentra bailando y entonando canciones junto a otras mujeres.,Una mujer realiza una danza mientras canta en medio de una lluvia torrencial.
33,Un hombre está cortando un bollo.,Un hombre está cortando una cebolla.,0.4800000190734863,Un hombre se halla cortando un pan.,Un individuo está desmenuzando una cebolla con un cuchillo.
34,Un hombre está vertiendo aceite en una cacerola.,Un hombre está vertiendo aceite en una sartén.,0.8399999618530274,Un caballero está echando aceite en una sartén.,Un hombre vierte aceite en una sartén.
35,Un león está jugando con la gente.,Un león está jugando con dos hombres.,0.6800000190734863,Un león se divierte con las personas.,Un león está interactuando con dos hombres de forma lúdica.
36,Un perro monta un monopatín.,Un perro está montando un monopatín.,1.0,Un canino está montando un patinete.,Un perro está desplazándose sobre un monopatín.
37,Alguien está tallando una estatua.,Un hombre está tallando una estatua.,0.75,Alguien se encuentra esculpiendo una estatua.,Un hombre está creando una escultura con un cincel.
38,Una mujer está cortando una cebolla.,Un hombre está cortando una cebolla.,0.55,Una fémina está partiendo una cebolla.,Un individuo está rebanando una cebolla con un cuchillo.
39,Una mujer pela camarones.,Una mujer está pelando camarones.,1.0,Una dama está pelando gambas.,Una mujer está descascarando camarones.
40,Una mujer está friendo pescado.,Una mujer está cocinando pescado.,0.8,Una dama está cocinando pescado a la plancha.,Una mujer está preparando un plato de pescado.
41,Una mujer está tocando una guitarra eléctrica.,Una mujer está tocando una guitarra.,0.7199999809265136,Una mujer está tañendo una guitarra eléctrica.,Una mujer está ejecutando una melodía en una guitarra.
42,Un tigre bebé está jugando con una pelota.,Un bebé está jugando con una muñeca.,0.3200000047683716,Un cachorro de tigre está divirtiéndose con una pelota.,Un niño está divirtiéndose con un juguete de muñeca.
43,Una persona está cortando un tomate.,Una persona está cortando algo de carne.,0.35,Un individuo está rebanando un tomate.,Una persona está preparando un trozo de carne.
44,Una persona corta una cebolla.,Una persona está cortando una cebolla.,1.0,Una persona está partiendo una cebolla.,Una persona está preparando una cebolla para cocinar.
45,Un hombre está tocando el piano.,Una mujer está tocando el violín.,0.2,Un hombre está interpretando el piano.,Una mujer está interpretando música con un violín.
46,Una mujer está tocando la flauta.,Un hombre está tocando la guitarra.,0.2,Una mujer está ejecutando la flauta.,Un hombre está ejecutando música con una guitarra.
47,Un hombre está cortando una patata.,Un hombre está cortando zanahorias.,0.475,Un hombre está troceando una papa.,Un hombre está preparando zanahorias.
48,Un niño está tocando la guitarra.,Un chico está tocando una guitarra.,0.7599999904632568,Un joven está pulsando las cuerdas de la guitarra.,Un chico está ejecutando música con una guitarra.
49,Un chico está tocando la guitarra.,Un hombre está tocando una guitarra.,0.6400000095367432,Un muchacho está tocando melodías en la guitarra.,Un hombre está ejecutando música con una guitarra.
50,Un hombre está tocando la guitarra.,Un chico está tocando una guitarra.,0.6400000095367432,Un varón se encuentra tañendo una guitarra.,Un joven está interpretando melodías con su guitarra.
51,Un niño pequeño está tocando un teclado.,Un niño está jugando al teclado.,0.8800000190734864,Un pequeño infante se dedica a tocar un teclado.,Un niño está divirtiéndose con un teclado musical.
52,Un hombre está tocando una guitarra.,Un hombre está tocando una guitarra eléctrica.,0.75,Un caballero está ejecutando una guitarra.,Un hombre está utilizando una guitarra eléctrica para producir sonido.
53,Un perro lame a un bebé.,Un perro está lamiendo a un bebé.,0.95,Un canino acaricia con la lengua a un bebé.,Un canino está mostrando afecto a un bebé.
54,Una mujer está cortando una cebolla.,Un hombre está cortando y cebando.,0.6400000095367432,Una dama está troceando una cebolla.,Un hombre está preparando comida con destreza.
55,Un hombre está tocando la guitarra.,Un hombre está tocando la batería.,0.3111999988555908,Un hombre se halla tocando la guitarra.,Un músico está ejecutando ritmos en su batería.
56,Una mujer está cortando un pimiento.,Una mujer está cortando un pimiento rojo.,0.7875999927520752,Una fémina está cortando un pimiento.,Una mujer está preparando un pimiento rojo para cocinar.
57,Un hombre está tocando la batería.,Un hombre toca el tambor.,1.0,Un varón está percutiendo una batería.,Un hombre está percutiendo un tambor con ritmo.
58,Una mujer monta un caballo.,Una mujer está montando a caballo.,1.0,Una mujer cabalga sobre un equino.,Una mujer está cabalgando a lomos de un caballo.
59,Un hombre está comiendo un plátano junto a un árbol.,Un hombre está comiendo un plátano.,0.8,Un hombre se encuentra consumiendo un plátano al lado de un árbol.,Un hombre está disfrutando de un plátano.
60,Un gato está jugando con un teclado.,Un hombre está tocando dos teclados.,0.3200000047683716,Un felino se divierte con un teclado.,Un individuo ejecuta melodías en dos instrumentos de teclado.
61,Un hombre corta un árbol con un hacha.,Un hombre cortó un árbol con un hacha.,0.95,Un individuo talando un árbol con una hacha.,Un individuo derribó un árbol con una herramienta de cortar madera.
62,Un niño juega con un teléfono de juguete.,Un niño pequeño juega con un teléfono de juguete.,0.7,Un menor se entretiene con un teléfono de juguete.,Un infante se divierte con un dispositivo de comunicación ficticio.
63,Un hombre está montando una motocicleta.,Un hombre está montando a caballo.,0.2799999952316284,Un caballero se encuentra montando una motocicleta.,Un hombre cabalga sobre un animal equino.
64,Un hombre está montando una motocicleta.,Un hombre está montando a caballo.,0.2799999952316284,Un varón está conduciendo una motocicleta.,Un hombre se desplaza en la montura de un caballo.
65,Una ardilla está girando en círculos.,Una ardilla corre en círculos.,0.8,Una ardilla gira en círculos incesantemente.,Un roedor de cola tupida corre en trayectoria circular.
66,Un hombre y una mujer se están besando.,Un hombre y una mujer se besan.,1.0,Un hombre y una mujer se dan un apasionado beso.,Un hombre y una mujer se encuentran en un abrazo apasionado.
67,Un hombre se está subiendo a un coche.,Un hombre se está metiendo en un coche en un garaje.,0.7665999889373779,Un hombre se dispone a entrar en un automóvil.,Un hombre entra en un automóvil ubicado en un espacio cerrado para vehículos.
68,Un hombre está bailando.,Un hombre está hablando.,0.1200000047683715,Un hombre se encuentra bailando con alegría.,Un individuo se encuentra enfrascado en una conversación.
69,Un hombre está tocando la guitarra y cantando.,Un hombre está tocando la guitarra.,0.5834000110626221,Un hombre está interpretando una canción con su guitarra.,Un hombre interpreta música con una guitarra.
70,Una persona está cortando hongos.,Una persona está cortando setas con un cuchillo.,0.8399999618530274,Un individuo se encuentra en el proceso de cortar setas.,Una persona está cortando setas con un cuchillo.
71,Un cachorro de tigre está haciendo un sonido.,Un tigre está caminando por ahí.,0.4,Un cachorro de tigre está emitiendo un sonido.,Un felino de gran tamaño se desplaza por el entorno.
72,Una persona está cortando cebollas.,Una persona está pelando una cebolla.,0.5199999809265137,Una persona está en medio de cortar cebollas.,Una persona está retirando la piel de una cebolla.
73,Un hombre está tocando el piano.,Un hombre está tocando la trompeta.,0.3200000047683716,Un hombre está interpretando música en el piano.,Un hombre está ejecutando una melodía con la trompeta.
74,Una mujer está pelando una patata.,Una mujer está pelando una manzana.,0.4,Una dama está quitando la cáscara de una papa.,Una mujer está retirando la piel de una manzana.
75,Un pankda está comiendo bambú.,Un oso panda está comiendo algo de bambú.,0.8399999618530274,Un panda está consumiendo bambú.,Un oso panda está consumiendo bambú.
76,Una persona está pelando una cebolla.,Una persona está pelando una berenjena.,0.4,Una persona está quitando la piel de una cebolla.,Una persona está retirando la piel de una berenjena.
77,Un mono empuja a otro mono.,El mono empujó al otro mono.,0.9600000381469728,Un mono está empujando a otro mono.,El primate hizo que el otro primate perdiera el equilibrio.
78,Una ardilla corre en círculos.,Una ardilla se mueve en círculos.,0.8800000190734864,Una ardilla está corriendo en círculos.,La ardilla da vueltas sobre sí misma.
79,Un hombre se está atando el zapato.,Un hombre se ata el zapato.,1.0,Un hombre se está ajustando el calzado.,Un hombre está ajustando su calzado.
80,Un niño está cantando y tocando el piano.,Un niño está tocando el piano.,0.6,Un joven se encuentra entonando melodías mientras tañe el piano.,Un niño está tocando el piano.
81,Un perro está comiendo sandía.,Un perro está comiendo un pedazo de sandía.,0.85,Un can está saboreando sandía.,Un canino está degustando una porción de sandía.
82,Una mujer está cortando brócoli.,Una mujer está cortando el brócoli con un cuchillo.,0.85,Una fémina se dedica a trocear brócoli.,Una mujer está troceando el brócoli con un cuchillo.
83,Un hombre está pelando una patata.,Un hombre peló una patata.,0.7599999904632568,Un varón se encuentra mondando una papa.,Un hombre quitó la piel a una papa.
84,Una mujer está tocando una guitarra.,Un hombre toca la guitarra.,0.4800000190734863,Una dama se halla tocando la guitarra.,Un individuo está tocando la guitarra.
85,Una mujer está cortando tomates.,Un hombre está cortando cebolla.,0.3200000047683716,Una señora se dedica a rebanar tomates.,Un hombre está picando una cebolla.
86,Un hombre nada bajo el agua.,Una mujer está nadando bajo el agua.,0.4,Un caballero se sumerge para nadar bajo el agua.,Una mujer está buceando.
87,Un hombre y una mujer están hablando.,Un hombre y una mujer están comiendo.,0.3200000047683716,Un hombre y una mujer están manteniendo una conversación.,Un hombre y una mujer están consumiendo alimentos.
88,Un pequeño perro está persiguiendo una pelota de yoga.,Un perro está persiguiendo una pelota.,0.8,Un perrito de pequeño tamaño está corriendo tras una pelota de yoga.,Un perro está siguiendo una pelota.
89,Los hombres están jugando al cricket.,Los hombres están jugando al baloncesto.,0.4400000095367432,Los varones se encuentran jugando un partido de cricket.,Los hombres están participando en un juego de baloncesto.
90,Un hombre se va en una motocicleta.,Un hombre va en una motocicleta.,0.8800000190734864,Un individuo se marcha en una moto.,Un hombre viaja en una motocicleta.
91,Un hombre está tocando una guitarra.,Un hombre está cantando y tocando la guitarra.,0.7199999809265136,Un hombre está tañendo una guitarra.,Un hombre canta y toca la guitarra.
92,El hombre habló por teléfono.,El hombre está hablando por teléfono.,0.7199999809265136,El hombre conversó por teléfono.,El hombre conversa por teléfono.
93,Un hombre está pescando.,Un hombre está haciendo ejercicio.,0.1,Un hombre está faenando en la pesca.,Un hombre está realizando ejercicio físico.
94,Un hombre está levitando.,Un hombre está hablando.,0.1600000023841858,Un hombre está flotando en el aire.,Un hombre está hablando.
95,Dos chicos están conduciendo.,Dos bahías están bailando.,0.1200000047683715,Dos jóvenes están manejando un vehículo.,Dos bailarines están bailando.
96,Un hombre está montando a caballo.,Una chica está montando a caballo.,0.5199999809265137,Un hombre está cabalgando.,Una joven está cabalgando un caballo.
97,Un hombre está montando en bicicleta.,Un mono está montando una bicicleta.,0.4,Un hombre está andando en bicicleta.,Un simio está conduciendo una bicicleta.
98,Un hombre está cortando patatas.,Una mujer está pelando patatas.,0.4400000095367432,Un hombre está picando papas.,Una mujer está descascarando papas.
99,Una mujer está pelando una patata.,Un hombre está cortando patatas.,0.4800000190734863,Una mujer está mondando una papa.,Un hombre está rebanando papas.
100,Un hombre está tocando una guitarra.,Someoen está tocando la guitarra.,0.7199999809265136,Un varón se encuentra tañendo una guitarra.,Alguien está ejecutando melodías con su guitarra.
101,Una mujer está cortando un puerro.,Una mujer está cortando jengibre.,0.4400000095367432,Una dama se halla cortando un puerro.,Una mujer está preparando jengibre.
102,El hombre cortó un plato de papel.,Un hombre está cortando un plato de papel.,0.9600000381469728,El hombre recortó un plato de papel.,Un hombre está recortando un plato de papel.
103,El hombre está tocando la guitarra.,Un hombre está tocando la flauta.,0.328600001335144,El varón se dedica a tocar la guitarra.,Un hombre está ejecutando música con una flauta.
104,Un hombre está tocando el piano.,El hombre está tocando el violín.,0.35,Un caballero se encuentra interpretando el piano.,El hombre está interpretando una melodía con su violín.
105,Una mujer está cortando carne.,Una mujer está empanando algo de carne.,0.45,Una mujer se encuentra fileteando carne.,Una mujer está recubriendo carne con pan rallado.
106,Un hombre está tocando en su teclado.,Un hombre está tocando un teclado de piano.,0.8,Un individuo se encuentra pulsando las teclas de su teclado.,Un hombre está tecleando en un teclado de piano.
107,La señora cortó las cebollas de verdeo.,La señora cortó una cebolla verde.,0.9600000381469728,La dama cortó las cebolletas.,La mujer partió una cebolla verde.
108,Alguien está sentando fideos en el agua.,Una mujer está hirviendo fideos en agua.,0.6400000095367432,Alguien se encuentra echando pasta al agua.,Una mujer está cociendo fideos en agua caliente.
109,Lionel Richie está bailando en el techo.,Lionel Ritchie baila mientras está de pie en el techo.,0.8,Lionel Richie se encuentra bailando sobre el tejado.,Lionel Ritchie se mueve al ritmo de la música mientras se ubica en el tejado.
110,Un hombre está tocando el piano.,Una persona está tocando el piano.,0.8800000190734864,Un varón se encuentra tañendo el pianoforte.,Las manos de un individuo recorren las teclas del piano.
111,Una mujer está tocando la flauta.,Una mujer toca la flauta.,0.9199999809265136,Una dama se halla tocando el flautín.,Una mujer está interpretando una melodía con su flauta.
112,Un chico está revisando un calendario.,Un chico está mirando un calendario.,0.7599999904632568,Un joven está revisando un almanaque.,Un niño observa las fechas de un calendario.
113,Una mujer está cortando una cebolla.,Una mujer está cortando cebollas.,0.9600000381469728,Una fémina está cortando una cebolla en rodajas.,Una mujer está picando cebollas.
114,Un hombre está tocando la guitarra.,Un hombre toca la guitarra.,0.971399974822998,Un caballero está rasgueando la guitarra.,Un hombre está ejecutando música con una guitarra.
115,Una mujer está usando una máquina de coser.,Una mujer está cosiendo en una máquina.,1.0,Una señora está manejando una máquina de coser.,Una mujer está utilizando una máquina de coser para hacer ropa.
116,Una mujer está volteando panqueques.,Un chef de dibujos animados está haciendo panqueques.,0.5065999984741211,Una dama está dando vuelta a los panqueques.,Un cocinero animado está preparando panqueques.
117,Un hombre está corriendo en la carretera.,Un coche está conduciendo por la carretera.,0.2,Un hombre está trotando por la carretera.,Un vehículo se desplaza por la vía pública.
118,Un hombre está montando a caballo.,Un hombre está hablando por teléfono.,0.2,Un varón está montando a lomos de un caballo.,Un hombre está enfrascado en una conversación telefónica.
119,Un hombre está montando en bicicleta.,Un hombre está montando a caballo.,0.4,Un hombre está pedaleando en una bicicleta.,Un hombre está cabalgando a caballo.
120,Una mujer está bailando.,Un hombre está comiendo.,0.028600001335144,Una dama se encuentra danzando.,Un hombre ingiere alimentos.
121,Un hombre está tocando el piano.,Un hombre está tocando una flauta.,0.4,Un varón está interpretando el piano.,Un hombre ejecuta melodías con una flauta.
122,Un hombre está tocando una flauta.,Un hombre está tocando el piano.,0.3200000047683716,Un hombre está ejecutando una flauta.,Un hombre produce música con un piano.
123,Un hombre está girando.,Un hombre está bailando.,0.3200000047683716,Un individuo está dando vueltas.,Un hombre se mueve con ritmo.
124,Un mono se balancea de miembro a miembro.,Un mono se balancea de árbol en árbol.,0.6800000190734863,Un simio se está columpiando de rama en rama.,Un primate se desplaza de un árbol a otro.
125,La gente se bajó del tren.,La gente se bajó del tren en la estación.,0.8,Los pasajeros descendieron del ferrocarril.,Los pasajeros abandonaron el tren en la terminal.
126,Un perro está saltando en un trampolín.,Un perro rebota en un trampolín.,0.9600000381469728,Un can está brincando en un trampolín.,Un canino salta sobre un artilugio elástico.
127,Un niño está tocando un instrumento.,Un hombre está tocando una trompeta.,0.5,Un infante está manipulando un instrumento.,Un hombre emite sonidos con una trompeta.
128,Una mujer toca la guitarra.,Un hombre canta y toca la guitarra.,0.35,Una dama toca la guitarra.,Un hombre entona canciones mientras toca la guitarra.
129,Una mujer está eligiendo una lata.,Una mujer está cortando un tomate.,0.2,Una fémina se encuentra seleccionando una lata.,Una mujer divide un tomate con un cuchillo.
130,Un hombre está escalando una cuerda.,Un hombre sube por una cuerda.,1.0,Un varón se encuentra ascendiendo por una soga.,Un hombre asciende por una cuerda.
131,Un hombre está levantando un coche.,Un hombre está escalando una pared.,0.2799999952316284,Un hombre se halla elevando un automóvil.,Un individuo está ascendiendo por una pared.
132,Un hombre y una mujer están conduciendo por la calle en un jeep.,Un hombre y una mujer están conduciendo por la carretera en un vehículo al aire libre.,0.8,Un hombre y una fémina están manejando un jeep por la vía.,Un hombre y una mujer se desplazan en un vehículo descubierto por una vía pública.
133,El hombre sin camisa se sentó en una silla.,Un hombre sin camisa está sentado en una silla.,0.7599999904632568,El individuo sin playera se ubicó en un asiento.,Un hombre se encuentra sentado en una silla sin camiseta.
134,Dos mujeres están luchando.,Dos mujeres están luchando en el suelo.,0.8,Dos damas se hallan peleando.,Dos mujeres se encuentran enfrascadas en una pelea en el suelo.
135,El cachorro jugó con una pelota de tenis azul.,Un cachorro está jugando con una pelota de tenis.,0.8,El perrito se divirtió con una pelota de tenis de color azul.,Un cachorro está jugando con un balón de tenis.
136,Un canguro está comiendo algo.,Un canguro está comiendo.,0.9600000381469728,Un canguro está consumiendo algo.,Un canguro está consumiendo alimento.
137,Un gato está tocando el piano.,Un hombre está tocando una guitarra.,0.1200000047683715,Un felino está interpretando el piano.,Un hombre está ejecutando una pieza musical con una guitarra.
138,El hombre cortó una alfombra con un cuchillo.,Un hombre está cortando la alfombra con un cuchillo.,0.95,El caballero recortó una alfombra con un cuchillo.,Un hombre está realizando un corte en la alfombra con un cuchillo.
139,Una mujer va en un scooter motorizado por una carretera.,Un hombre está conduciendo un scooter.,0.4400000095367432,Una dama viaja en una motocicleta ligera por una ruta.,Un hombre está utilizando un patinete como medio de transporte.
140,alguien está cortando un vegetal.,Alguien está cortando un tomate.,0.6,Alguien se encuentra rebanando un vegetal.,Una persona está realizando un corte en un tomate.
141,Una mujer está bailando.,Un hombre está hablando.,0.0,Una dama se halla bailando.,Un hombre está expresando sus ideas verbalmente.
142,Un perro lame la baba de un bebé.,Un perro lame a un bebé.,0.4400000095367432,Un canino está lamiendo la saliva de un infante.,Un perro está mostrando afecto a un bebé lamiendolo.
143,Un hombre está remando un bote.,Un hombre está cortando un tomate.,0.0800000011920929,Un hombre está navegando en una barca.,Un individuo está realizando una acción de corte sobre un tomate.
144,Un hombre corta patatas.,Un hombre corta patatas.,0.9600000381469728,Un individuo está cortando papas.,Un hombre está realizando una acción de trocear patatas.
145,Una mujer está cortando el ajo.,La mujer está cortando el ajo en cubitos.,0.9600000381469728,Una mujer se encuentra picando el ajo.,La mujer está realizando la acción de cortar el ajo en pequeños cubos.
146,Un animal corre en círculos.,Una ardilla corre en círculos.,0.7599999904632568,Un animal está corriendo en círculos.,Un roedor de cola tupida se desplaza en trayectoria circular.
147,Un hombre está caminando lentamente a través de un puente de cuerda.,Un chico está caminando por un puente.,0.6,Un hombre se desplaza lentamente a través de un puente colgante.,Un joven está realizando el recorrido a pie por un puente.
148,Un hombre está tocando la guitarra.,Un hombre sentado en una habitación está tocando la guitarra.,0.8,Un hombre está tañendo la guitarra.,Un hombre está en una habitación sentado y tocando la guitarra.
149,Un hombre toca la flauta.,Un hombre está tocando una flauta.,1.0,Un hombre interpreta la flauta.,"Un hombre está realizando una acción con un instrumento musical, la flauta."
150,Una mujer rompe dos huevos en un tazón de cristal.,Una mujer está rompiendo un huevo en un tazón.,0.7599999904632568,Una dama parte dos huevos en un recipiente de vidrio.,Una mujer está rompiendo un huevo en un tazón.
151,Un hombre está cortando un pescado.,Un hombre destripa un pez.,0.6,Un caballero está fileteando un pez.,Un hombre está desvistiendo un pescado.
152,Dos hombres están empacando maletas en el maletero de un auto.,Los hombres están poniendo maletas en el maletero del coche.,0.8800000190734864,Dos varones están acomodando equipaje en el baúl de un automóvil.,Los hombres están guardando sus equipajes en el compartimento trasero del vehículo.
153,Un hombre vierte aceite sobre unos tomates.,El hombre vertió aceite sobre los tomates cortados.,0.7599999904632568,Un caballero vierte aceite sobre unos jitomates.,El hombre puso aceite sobre los tomates troceados.
154,Un hombre está cortando algo.,Un hombre está cortando un bollo.,0.6,Un varón está cortando un objeto.,Un hombre corta un panecillo.
155,Un hombre está remando en una canoa.,Un hombre está tocando el arpa.,0.1333999991416931,Un hombre está remando en una piragua.,Un hombre interpreta una melodía con un arpa.
156,Un hombre y una mujer están caminando juntos por el bosque.,Un hombre y una mujer están caminando brazo a brazo por una zona boscosa.,0.8,Un hombre y una mujer pasean juntos por el bosque.,Un hombre y una mujer van cogidos de la mano por una zona arbolada.
157,La mujer recogió el canguro.,Una mujer recoge un bebé canguro.,0.75,La mujer levantó al canguro.,Una mujer levanta una cría de canguro.
158,Los peces están nadando.,Un pez está nadando.,0.8265999794006348,Los peces están navegando en el agua.,Un pez se mueve por el agua.
159,Dos mujeres mezclan algo en un procesador de alimentos.,Dos mujeres hacen algo en una licuadora.,0.8,Dos damas combinan algo en una procesadora de alimentos.,Dos mujeres preparan una mezcla en una batidora.
160,Una persona está surfeando una gran ola.,Una persona está surfeando.,0.7199999809265136,Un individuo está montando una ola imponente.,Un individuo está practicando surf.
161,Un hombre está tocando una guitarra.,Un hombre está apuñalando a un objetivo.,0.2400000095367431,Un caballero está tañendo una guitarra.,Un sujeto está hiriendo a un blanco con un cuchillo.
162,Un hombre está tocando una flauta en una banda.,Un hombre está tocando una guitarra.,0.3200000047683716,Un hombre está ejecutando una flauta en un conjunto musical.,Un sujeto está ejecutando una pieza musical con una guitarra.
163,El hombre untó mantequilla en la barra de pan.,Un hombre está untando mantequilla en el pan.,0.8,El hombre extendió mantequilla sobre la baguette.,Un hombre está extendiendo mantequilla sobre un trozo de pan.
164,Una persona está hirviendo fideos.,Una mujer está hirviendo fideos en agua.,0.8,Una persona está cocinando pasta.,Una mujer está cocinando pasta en agua hirviendo.
165,Un grupo de gente baila en una colina.,Un grupo de gente está bailando.,0.6400000095367432,Un conjunto de personas está bailando sobre una elevación.,Un conjunto de personas está realizando movimientos rítmicos.
166,Un hombre está bailando afuera.,Un hombre está tocando la flauta.,0.2,Un hombre está bailando al aire libre.,Un hombre está interpretando una melodía con una flauta.
167,Una mujer está alimentando a un hombre.,Una mujer está mezclando carne.,0.2,Una dama está dando de comer a un hombre.,Una mujer está combinando diferentes ingredientes cárnicos.
168,Un hombre está poniendo una cacerola en un horno.,Una mujer está cortando una cebolla.,0.1200000047683715,Un hombre está colocando una olla en un horno.,Una mujer está troceando una cebolla.
169,Una mujer está sentada en un escritorio.,Una mujer está montando un burro.,0.0800000011920929,Una mujer está ubicada en un buró.,Una mujer está cabalgando sobre un burro.
170,Los médicos transportan a un paciente en una camilla.,Un médico lleva a un paciente en una camilla.,0.6800000190734863,Los facultativos trasladan a un enfermo en una litera.,Un profesional médico traslada a un paciente en una camilla.
171,Una mujer está tocando una flauta en el escenario.,La mujer está tocando la flauta.,0.7199999809265136,Una dama está interpretando una flauta sobre el escenario.,La mujer está interpretando una melodía con su flauta.
172,Dos bebés pandas están jugando.,Dos pandas están acostados juntos.,0.6,Dos cachorros de panda se encuentran divirtiéndose.,Dos osos panda se encuentran descansando juntos.
